key,entry_type,cited,title,bib_year,bib_venue,bib_doi,doi_status,crossref_title,crossref_year,crossref_venue,title_similarity,year_match,venue_match,url_status,category,audit_status,issue,recommendation
almeida2024cryptomicrostructure,article,True,Cryptocurrency Market Microstructure: A Systematic Literature Review,2024,Annals of Operations Research,10.1007/s10479-023-05627-5,FOUND,Cryptocurrency market microstructure: a systematic literature review,2024,Annals of Operations Research,1.0,True,True,NOT_REQUIRED,crypto_microstructure,PASS,,No action required.
angerer2025cryptoorderbook,article,False,Order Book Liquidity on Crypto Exchanges,2025,Journal of Risk and Financial Management,10.3390/jrfm18030124,FOUND,Order Book Liquidity on Crypto Exchanges,2025,Journal of Risk and Financial Management,1.0,True,True,NOT_REQUIRED,crypto_microstructure,UNUSED,UNUSED_ENTRY,No action required.
aquilina2022armsrace,article,True,Quantifying the High-Frequency Trading ``Arms Race'',2022,The Quarterly Journal of Economics,10.1093/qje/qjab032,FOUND,Quantifying the High-Frequency Trading “Arms Race”,2021,The Quarterly Journal of Economics,1.0,True,True,NOT_REQUIRED,,PASS,,No action required.
aquilina2025speedpremium,techreport,True,The Speed Premium: High-Frequency Trading and the Cost of Capital,2025,Bank for International Settlements,,NOT_REQUIRED,,,,0.0,False,False,OK,,PASS,,No action required.
arroyo2024survival,article,False,Deep Attentive Survival Analysis in Limit Order Books: Estimating Fill Probabilities with Convolutional-Transformers,2024,Quantitative Finance,10.1080/14697688.2023.2286351,FOUND,Deep attentive survival analysis in limit order books: estimating fill probabilities with convolutional-transformers,2024,Quantitative Finance,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
bai2018tcn,misc,True,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,2018,,,ARXIV_ONLY,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,2018,Lecture Notes in Computer Science,0.5091,True,False,NOT_REQUIRED,lob_transformer_deep_temporal,ARXIV_ONLY,ARXIV_ONLY_ACCEPTABLE_IF_CANONICAL,Keep only if this is the canonical source for the model/protocol.
bailey2016backtestoverfitting,article,True,The Probability of Backtest Overfitting,2016,Journal of Computational Finance,10.21314/JCF.2016.322,FOUND,The probability of backtest overfitting,2016,The Journal of Computational Finance,1.0,True,True,NOT_REQUIRED,backtest_overfitting,PASS,,No action required.
bergmeir2018timeseriescv,article,True,A Note on the Validity of Cross-Validation for Evaluating Autoregressive Time Series Prediction,2018,Computational Statistics \& Data Analysis,10.1016/j.csda.2017.11.003,FOUND,A note on the validity of cross-validation for evaluating autoregressive time series prediction,2018,Computational Statistics &amp; Data Analysis,1.0,True,True,NOT_REQUIRED,time_series_validation,PASS,,No action required.
bieganowski2026cryptoexplainable,misc,False,Explainable Patterns in Cryptocurrency Microstructure,2026,,,PEER_REVIEWED_ALTERNATIVE_FOUND,Explainable Patterns in Cryptocurrency Microstructure,2026,,1.0,True,False,NOT_REQUIRED,,QUESTIONABLE,ARXIV_HAS_PEER_REVIEWED_ALTERNATIVE;UNUSED_ENTRY,Consider replacing/augmenting with DOI 10.2139/ssrn.6159346.
bis_hft,techreport,True,Quantifying the High-Frequency Trading ``Arms Race'',2021,Bank for International Settlements,,NOT_REQUIRED,,,,0.0,False,False,OK,,PASS,,No action required.
briola2025hlob,article,False,{HLOB}: Information Persistence and Structure in Limit Order Books,2025,Expert Systems with Applications,10.1016/j.eswa.2024.126078,FOUND,HLOB–Information persistence and structure in limit order books,2025,Expert Systems with Applications,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
briola2025lobframe,article,True,Deep Limit Order Book Forecasting: A Microstructural Guide,2025,Quantitative Finance,10.1080/14697688.2025.2522911,FOUND,Deep limit order book forecasting: a microstructural guide,2025,Quantitative Finance,1.0,True,True,NOT_REQUIRED,lob_benchmark;lob_transformer_deep_temporal,PASS,,No action required.
budish2015hftarmsrace,article,True,The High-Frequency Trading Arms Race: Frequent Batch Auctions as a Market Design Response,2015,The Quarterly Journal of Economics,10.1093/qje/qjv027,FOUND,The High-Frequency Trading Arms Race: Frequent Batch Auctions as a Market Design Response *,2015,The Quarterly Journal of Economics,1.0,True,True,NOT_REQUIRED,,PASS,,No action required.
cartea2015algorithmic,book,True,Algorithmic and High-Frequency Trading,2015,Cambridge University Press,,NOT_REQUIRED,,,,0.0,False,False,NOT_REQUIRED,market_microstructure,PASS,,No action required.
cerqueira2020timeserieseval,article,True,Evaluating Time Series Forecasting Models: An Empirical Study on Performance Estimation Methods,2020,Machine Learning,10.1007/s10994-020-05910-7,FOUND,Evaluating time series forecasting models: an empirical study on performance estimation methods,2020,Machine Learning,1.0,True,True,NOT_REQUIRED,time_series_validation,PASS,,No action required.
chen2016xgboost,inproceedings,True,{XGBoost}: A Scalable Tree Boosting System,2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2939672.2939785,FOUND,XGBoost,2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,0.3043,True,True,NOT_REQUIRED,,PASS,,No action required.
cont2001stylizedfacts,article,False,Empirical Properties of Asset Returns: Stylized Facts and Statistical Issues,2001,Quantitative Finance,10.1080/713665670,FOUND,Empirical properties of asset returns: stylized facts and statistical issues,2001,Quantitative Finance,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
cont2010stochasticlob,article,True,A Stochastic Model for Order Book Dynamics,2010,Operations Research,10.1287/opre.1090.0780,FOUND,A Stochastic Model for Order Book Dynamics,2010,Operations Research,1.0,True,True,NOT_REQUIRED,market_microstructure,PASS,,No action required.
cryptolake_data,misc,True,Crypto Lake Data Documentation,2026,,,NOT_REQUIRED,,,,0.0,False,False,OK,dataset_documentation,PASS,,No action required.
deeplob2019,article,True,{DeepLOB}: Deep Convolutional Neural Networks for Limit Order Books,2019,IEEE Transactions on Signal Processing,10.1109/TSP.2019.2907260,FOUND,DeepLOB: Deep Convolutional Neural Networks for Limit Order Books,2019,IEEE Transactions on Signal Processing,1.0,True,True,NOT_REQUIRED,deeplob,PASS,,No action required.
easley2026cryptomicrostructure,article,False,Microstructure and Market Dynamics in Crypto Markets,2026,Journal of Financial Markets,10.1016/j.finmar.2026.101071,FOUND,Microstructure and market dynamics in crypto markets,2026,Journal of Financial Markets,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
efron1979bootstrap,article,True,Bootstrap Methods: Another Look at the Jackknife,1979,The Annals of Statistics,10.1214/aos/1176344552,FOUND,Bootstrap Methods: Another Look at the Jackknife,1979,The Annals of Statistics,1.0,True,True,NOT_REQUIRED,bootstrap_statistical_validation,PASS,,No action required.
fsb2023crypto,techreport,True,Global Regulatory Framework for Crypto-Asset Activities,2023,Financial Stability Board,,NOT_REQUIRED,,,,0.0,False,False,HTTP_404,crypto_microstructure,PASS,HTTP_404,Verify URL for report/documentation source.
gould2013limitorderbooks,article,True,Limit Order Books,2013,Quantitative Finance,10.1080/14697688.2013.803148,FOUND,Limit order books,2013,Quantitative Finance,1.0,True,True,NOT_REQUIRED,market_microstructure,PASS,,No action required.
iosco2025implementation,techreport,False,Thematic Review Assessing the Implementation of IOSCO's Crypto and Digital Asset Recommendations,2025,International Organization of Securities Commissions,,NOT_REQUIRED,,,,0.0,False,False,OK,,UNUSED,UNUSED_ENTRY,No action required.
iosco_crypto2023,techreport,True,Policy Recommendations for Crypto and Digital Asset Markets: Final Report,2023,International Organization of Securities Commissions,,NOT_REQUIRED,,,,0.0,False,False,OK,crypto_microstructure,PASS,,No action required.
ke2017lightgbm,inproceedings,False,{LightGBM}: A Highly Efficient Gradient Boosting Decision Tree,2017,Advances in Neural Information Processing Systems,,NO_DOI_URL_VERIFIED,Exploiting GPUs for Efficient Gradient Boosting Decision Tree Training,2019,IEEE Transactions on Parallel and Distributed Systems,0.7287,False,False,OK,,UNUSED,UNUSED_ENTRY,No DOI found; canonical proceedings URL verified.
koh2021wilds,inproceedings,True,{WILDS}: A Benchmark of in-the-Wild Distribution Shifts,2021,Proceedings of the 38th International Conference on Machine Learning,,NO_DOI_URL_VERIFIED,Wild-Time: A Benchmark of in-The-Wild Distribution Shift Over Time,2022,Advances in Neural Information Processing Systems 35,0.8547,True,False,OK,distribution_shift,PASS,,No DOI found; canonical proceedings URL verified.
lopezdeprado2018afml,book,True,Advances in Financial Machine Learning,2018,Wiley,,NOT_REQUIRED,,,,0.0,False,False,NOT_REQUIRED,backtest_overfitting,PASS,,No action required.
madhavan2000microstructure,article,True,Market Microstructure: A Survey,2000,Journal of Financial Markets,10.1016/S1386-4181(00)00007-0,FOUND,Market microstructure: A survey,2000,Journal of Financial Markets,1.0,True,True,NOT_REQUIRED,market_microstructure,PASS,,No action required.
maglaras2022fillprob,article,False,A Deep Learning Approach to Estimating Fill Probabilities in a Limit Order Book,2022,Quantitative Finance,10.1080/14697688.2022.2124189,FOUND,A deep learning approach to estimating fill probabilities in a limit order book,2022,Quantitative Finance,1.0,True,True,NOT_REQUIRED,,UNUSED,UNUSED_ENTRY,No action required.
ntakaris2018benchmark,article,True,Benchmark Dataset for Mid-Price Forecasting of Limit Order Book Data with Machine Learning Methods,2018,Journal of Forecasting,10.1002/for.2543,FOUND,Benchmark dataset for mid‐price forecasting of limit order book data with machine learning methods,2018,Journal of Forecasting,1.0,True,True,NOT_REQUIRED,fi_2010;lob_benchmark,PASS,,No action required.
ohara2015highfrequency,article,True,High Frequency Market Microstructure,2015,Journal of Financial Economics,10.1016/j.jfineco.2015.01.003,FOUND,High frequency market microstructure,2015,Journal of Financial Economics,1.0,True,True,NOT_REQUIRED,market_microstructure,PASS,,No action required.
ovadia2019uncertainty,inproceedings,True,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,2019,Advances in Neural Information Processing Systems,,NO_DOI_URL_VERIFIED,Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?,2020,Lecture Notes in Computer Science,0.64,True,False,OK,distribution_shift,PASS,,No DOI found; canonical proceedings URL verified.
politis1994stationarybootstrap,article,True,The Stationary Bootstrap,1994,Journal of the American Statistical Association,10.1080/01621459.1994.10476870,FOUND,The Stationary Bootstrap,1994,Journal of the American Statistical Association,1.0,True,True,NOT_REQUIRED,bootstrap_statistical_validation,PASS,,No action required.
prata2024lobbenchmark,article,True,{LOB}-Based Deep Learning Models for Stock Price Trend Prediction: A Benchmark Study,2024,Artificial Intelligence Review,10.1007/s10462-024-10715-4,FOUND,Lob-based deep learning models for stock price trend prediction: a benchmark study,2024,Artificial Intelligence Review,1.0,True,True,NOT_REQUIRED,lob_benchmark,PASS,,No action required.
quinonero2009datasetshift,book,True,Dataset Shift in Machine Learning,2009,MIT Press,,NOT_REQUIRED,,,,0.0,False,False,NOT_REQUIRED,distribution_shift,PASS,,No action required.
schnaubelt2019bitcoinlob,article,False,Testing Stylized Facts of Bitcoin Limit Order Books,2019,Journal of Risk and Financial Management,10.3390/jrfm12010025,FOUND,Testing Stylized Facts of Bitcoin Limit Order Books,2019,Journal of Risk and Financial Management,1.0,True,True,NOT_REQUIRED,crypto_microstructure,UNUSED,UNUSED_ENTRY,No action required.
sirignano2019deeplob,article,True,Deep Learning for Limit Order Books,2019,Quantitative Finance,10.1080/14697688.2018.1546053,FOUND,Deep learning for limit order books,2019,Quantitative Finance,1.0,True,True,NOT_REQUIRED,deeplob,PASS,,No action required.
white2000realitycheck,article,True,A Reality Check for Data Snooping,2000,Econometrica,10.1111/1468-0262.00152,FOUND,A Reality Check for Data Snooping,2000,Econometrica,1.0,True,True,NOT_REQUIRED,backtest_overfitting,PASS,,No action required.
xiao2025lit,article,True,{LiT}: Limit Order Book Transformer,2025,Frontiers in Artificial Intelligence,10.3389/frai.2025.1616485,FOUND,LiT: limit order book transformer,2025,Frontiers in Artificial Intelligence,1.0,True,True,NOT_REQUIRED,lob_transformer_deep_temporal,PASS,,No action required.
zhang2021marketbyorder,article,True,Deep Learning for Market by Order Data,2021,Applied Mathematical Finance,10.1080/1350486X.2021.1967767,FOUND,Deep Learning for Market by Order Data,2021,Applied Mathematical Finance,1.0,True,True,NOT_REQUIRED,,PASS,,No action required.
