signal_index,entry_index,exit_index,event_time,regime,action,quantity,entry_price,exit_price,gross_pnl,net_pnl,total_cost,fill_ratio,entry_slippage,exit_slippage
1986366,1986367,1986417,2024-02-28 09:06:47.959000064+00:00,SHOCK_RECOVERY,-1,0.01690336327407582,59082.25,59159.828125,-1.3113312289966632,-1.5112001090795162,0.19986888008285286,1.0,0.0,0.0
2076948,2076949,2076999,2024-02-28 15:33:23.792999936+00:00,MILD_LIQUIDITY_STRESS,-1,0.016361110152452313,61040.880206969574,61120.55078125,-1.3034990417111854,-1.5033687045891315,0.1998696628779462,1.0,0.041668030426080804,0.0
2335877,2335878,2335928,2024-02-29 06:05:49.576999936+00:00,BALANCED_TRANSITION,1,0.01590030508710386,62891.971258903875,62813.1484375,-1.2533069081479193,-1.4531818835662924,0.199874975418373,1.0,0.09235265387542313,0.0
1400275,1400276,1400326,2024-02-27 02:21:59.494999808+00:00,CALM_LIQUID,1,0.017687783807745952,56536.19921875,56477.98046875,-1.0297606635572096,-1.229657701309435,0.1998970377522254,1.0,0.0,0.0
2052688,2052689,2052739,2024-02-28 13:55:53.237999872+00:00,BALANCED_TRANSITION,-1,0.016559035094675635,60331.08984375,60390.0,-0.9754953447765752,-1.1753978211155898,0.19990247633901465,1.0,0.0,0.0
1619582,1619583,1619633,2024-02-27 14:48:03.072000+00:00,CHOPPY_MEAN_REVERTING,1,0.017625500794868777,56735.98046875,56681.1015625,-0.9672682057309041,-1.1671714926802534,0.1999032869493494,1.0,0.0,0.0
1231983,1231984,1232034,2024-02-26 15:50:50.002000128+00:00,CALM_LIQUID,1,0.019001633398220943,52627.784064985535,52578.078125,-0.944494049319112,-1.1444023717868979,0.1999083224677859,1.0,0.725471235535224,0.0
2469971,2469972,2470022,2024-02-29 13:47:24.480999936+00:00,SHOCK_RECOVERY,1,0.015915686649971776,62831.1015625,62772.609375,-0.930943327721396,-1.1308502582568842,0.19990693053548825,1.0,0.0,0.0
2487655,2487656,2487706,2024-02-29 14:48:00.988000+00:00,BALANCED_TRANSITION,1,0.015895447692800605,62911.1015625,62855.0,-0.8917594522031339,-1.0916703010945505,0.19991084889141672,1.0,0.0,0.0
2051734,2051735,2051785,2024-02-28 13:51:32.632999936+00:00,MILD_LIQUIDITY_STRESS,1,0.01654889156687879,60427.01171875,60373.91015625,-0.878771999844337,-1.078684135573174,0.1999121357288371,1.0,0.0,0.0
1583312,1583313,1583363,2024-02-27 12:47:34.876000+00:00,CALM_LIQUID,1,0.017440445646987393,57338.74128080759,57288.8984375,-0.8692813995973265,-1.0691971116122863,0.19991571201495967,1.0,0.7529995575896464,0.0
2374948,2374949,2374999,2024-02-29 08:19:53.556000+00:00,UNKNOWN,-1,0.015856720654258204,63009.94921875,63064.75,-0.8689606799163607,-1.068873808624495,0.19991312870813438,1.0,0.0,0.0
2608224,2608225,2608275,2024-02-29 21:43:04.073999872+00:00,BALANCED_TRANSITION,1,0.016339871366915767,61200.0,61150.359375,-0.811121427073303,-1.0110403404616446,0.19991891338834167,1.0,0.0,0.0
2587718,2587719,2587769,2024-02-29 20:32:23.768999936+00:00,MILD_LIQUIDITY_STRESS,-1,0.016082586089894872,62128.9609375,62179.05859375,-0.8056998695425849,-1.005619312120151,0.19991944257756614,1.0,0.0,0.0
1315794,1315795,1315845,2024-02-26 20:21:03.331000064+00:00,BALANCED_TRANSITION,1,0.018371852026214337,54431.1015625,54388.46875,-0.7832437227113409,-0.9831654270450886,0.19992170433374767,1.0,0.0,0.0
2533663,2533664,2533714,2024-02-29 17:26:26.276000+00:00,UNKNOWN,1,0.016129023112323084,62000.0390625,61951.6015625,-0.7812495570031494,-0.9811714446482483,0.199921887645099,1.0,0.0,0.0
2557810,2557811,2557861,2024-02-29 18:49:04.104999936+00:00,BALANCED_TRANSITION,-1,0.016498629840349978,60565.05859375,60611.1015625,-0.7596458981570515,-0.9595699593463449,0.19992406118929343,1.0,0.0,0.0
1432914,1432915,1432965,2024-02-27 04:19:30.667000064+00:00,CALM_LIQUID,-1,0.017930789673378057,55728.578125,55770.0,-0.7427269285019568,-0.9426526838259655,0.19992575532400864,1.0,0.0,0.0
1982233,1982234,1982284,2024-02-28 08:49:04.959000064+00:00,CHOPPY_MEAN_REVERTING,-1,0.016974356719952222,58869.8203125,58912.3984375,-0.7227362822167157,-0.9226640218497102,0.19992773963299454,1.0,0.0,0.0
2174817,2174818,2174868,2024-02-28 21:03:02.556000+00:00,CHOPPY_MEAN_REVERTING,-1,0.01664963006278016,60020.0,60061.3984375,-0.6892686695521256,-0.8891997556926938,0.19993108614056826,1.0,0.0,0.0
1975211,1975212,1975262,2024-02-28 08:18:02.480000+00:00,UNKNOWN,1,0.017099543388755446,58481.1015625,58441.1015625,-0.6839817355502178,-0.8839133640946993,0.19993162854448152,1.0,0.0,0.0
2100088,2100089,2100139,2024-02-28 16:51:18.564999936+00:00,SHOCK_RECOVERY,-1,0.016218846984428513,61614.87890625,61656.671875,-0.6778337651812526,-0.8777660071466828,0.1999322419654303,1.0,0.0,0.0
2091323,2091324,2091374,2024-02-28 16:21:52.372999936+00:00,BALANCED_TRANSITION,-1,0.016344225738273783,61142.3515625,61183.69140625,-0.6756677382349666,-0.8756001842300695,0.19993244599510285,1.0,0.0,0.0
1578097,1578098,1578148,2024-02-27 12:30:21.638000128+00:00,SHOCK_RECOVERY,1,0.017577443745313826,56891.1015625,56853.01975364617,-0.669380852847973,-0.8693139422274441,0.19993308937947107,1.0,0.0,0.5700901038289885
1588195,1588196,1588246,2024-02-27 13:04:13.287000064+00:00,BALANCED_TRANSITION,1,0.017589971847112636,56850.578125,56814.0,-0.6434081889701669,-0.8433438618934355,0.19993567292326847,1.0,0.0,0.0
